GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.web.infrastructure.context,RequestContext,19,0,0,0,7,0,5,0,5,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.web.infrastructure.context,RequestContextFilter,74,0,2,0,23,0,5,0,4,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.web.infrastructure.context,RequestData,9,0,0,0,1,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.language.infrastructure.adapter.filter,LanguageFilterAspect,10,0,0,0,3,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.language.infrastructure.adapter.filter,LanguageFilterSupplier,14,0,2,0,5,0,3,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.infrastructure.adapter.specification,ExternalSkillSpecification,30,0,4,0,6,0,7,0,5,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.utils,FileReader,70,0,2,0,16,0,4,0,3,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.utils,RedirectUtils,38,0,12,0,10,0,10,0,4,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.casol.domain.service,CasolServiceImpl,98,0,4,0,29,0,7,0,5,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.user.domain.exceptions,ExternalUserNotFoundException,13,0,0,0,6,0,3,0,3,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.infrastructure.adapter.opensearch,OpenSearchIndexImpl,373,0,16,0,87,0,17,0,9,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.infrastructure.adapter.opensearch,ExternalSkillConstants,3,0,0,0,1,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.language.infrastructure.adapter.utils,TranslationUtil,113,0,4,0,28,0,12,0,10,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.adapter.service,RomeAdditionalSkillServiceConfig,16,0,0,0,2,0,2,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.security.infrastructure.filter,DisabledAuthenticationFilter,45,0,8,0,10,0,8,0,4,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.security.infrastructure.filter,ApiKeyAuthenticationFilter,177,0,32,0,43,0,22,0,6,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.security.infrastructure.filter,DevAuthenticationFilter,63,0,12,0,14,0,10,0,4,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.security.infrastructure.filter,HmacAuthenticationFilter,194,0,22,0,48,0,18,0,7,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.data.infrastructure.adapter.specification,DateFilterSpecificationBuilder,50,0,6,0,8,0,9,0,6,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.data.infrastructure.adapter.specification,FilterSpecificationBuilder,39,0,6,0,8,0,5,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.user.infrastructure.service,NoOpUserService,7,0,0,0,3,0,3,0,3,0
