id;libelle;category
8aaa9a3c-2a65-49e2-9c3d-c53b0674b838;Chercher et trier l’information;ebe816e5-e012-4a58-b3c6-e534dd9b13f5
68dae81e-79c1-4adb-bd9c-217f1c1e2762;"Connaître les personnes, lieux et ressources qui peuvent m’aider à m’informer et à m’orienter";ebe816e5-e012-4a58-b3c6-e534dd9b13f5
9c0ebfff-5e3f-4016-b191-ed91c219a950;Apprendre à découvrir les parcours de formation;ebe816e5-e012-4a58-b3c6-e534dd9b13f5
d3f14fe6-c732-41ca-a1ad-44e6fa2238f6;Apprendre à découvrir les métiers et le monde du travail;ebe816e5-e012-4a58-b3c6-e534dd9b13f5
fd8e7969-b786-42de-be76-7544ba833f17;M’interroger sur les clichés;ebe816e5-e012-4a58-b3c6-e534dd9b13f5
f573a31b-46c9-4149-b070-cc37e90ab331;Apprendre à me connaître;3e439da8-a02c-4dba-9c3a-e7325e2481e1
aaef27c9-b65c-4f10-ad85-093f9fb0a24e;Définir mes projets en fonction de qui je suis;3e439da8-a02c-4dba-9c3a-e7325e2481e1
12a07879-ead2-4d72-b152-88ca7111ad5c;M’autoriser à rêver et à avoir des ambitions;3e439da8-a02c-4dba-9c3a-e7325e2481e1
d59d82bf-2c89-492e-bb83-9d5bd5041747;Savoir me présenter et m’affirmer;3e439da8-a02c-4dba-9c3a-e7325e2481e1
6f323e3a-b02b-46d2-9b45-9178666593e2;Identifier ce que j’ai appris et ce que je sais faire;3e439da8-a02c-4dba-9c3a-e7325e2481e1
1e4fe98e-5835-46d3-a93a-1f47224553f9;Accepter les imprévus et saisir les occasions;f922c77e-8921-4f79-8dbb-423ae66c419a
bc5473ca-6133-4420-a22d-3c378e453a97;M’ouvrir au monde et aux autres;f922c77e-8921-4f79-8dbb-423ae66c419a
7344a755-2d73-4324-a918-1ba813602562;Me préparer aux transitions et aux changements;f922c77e-8921-4f79-8dbb-423ae66c419a
63c3c502-5e86-4d73-9f9e-a46118098353;Me projeter et comprendre les conséquences de mes choix;f922c77e-8921-4f79-8dbb-423ae66c419a
