id;libelle;category
1;Chercher et traiter l’information;1
2;Connaître, discerner et consulter les personnes, les lieux et les ressources qui peuvent aider dans son orientation;1
3;Explorer et se repérer dans les diplômes et les formations;1
4;Explorer et se repérer dans les métiers, les domaines professionnels et le monde du travail;1
5;Interroger et déconstruire les représentations;1
6;Apprendre à se connaître;2
7;Mettre en lien les éléments de connaissance sur soi-même et ses ambitions;2
8;S’autoriser à rêver;2
9;Savoir se présenter et maîtriser son image ;2
10;Traduire ses expériences personnelles, scolaires et professionnelles en compétences;2
11;Accepter les imprévus et saisir les opportunités;3
12;Construire, développer et mobiliser ses réseaux;3
13;Gérer et anticiper les transitions;3
14;Identifier et prendre en compte ses atouts et ses obstacles pour atteindre ses objectifs;3
15;Se projeter et comprendre les implications de ses choix;3
