id;category;parent
1;appréhender et gérer le stress;1
2;percevoir et exprimer son individualité;1
3;reconnaître et exprimer les émotions;1
4;mobiliser et maintenir sa motivation;2
5;prendre conscience de ses objectifs et les poursuivre;2
6;apprendre à apprendre;3
7;s'autoévaluer;3
8;adopter différents points de vue;4
9;saisir les enjeux;4
10;faire des choix responsables et éthiques;4
11;apprendre collectivement;5
12;communiquer à l'écrit;6
13;communiquer à l'oral;6
14;communiquer en utilisant le numérique;6
15;communiquer de manière non verbale;6
16;adapter ses méthodes de communication;7
17;être limpide, fluide et efficace;7
18;transmettre un message et argumenter;7
19;être présent/présente;8
20;savoir écouter;8
21;traiter des informations et des données pertinentes;9
22;rechercher des informations;9
23;prendre des décisions;10
24;savoir s'organiser;10
25;prendre en considération les risques et les aléas;10
26;problématiser;11
27;résoudre des problèmes significatifs et complexes;11
28;trouver et poursuivre un but commun;12
29;négocier;12
30;coopérer;12
31;appréhender les attentes d'un groupe;13
32;s'approprier différents rôles dans une équipe;13
33;envisager, approfondir des idées et solutions nouvelles;14
34;conceptualiser;14
35;développer la pensée divergente;15
36;développer la pensée convergente;15
